#comment	rdp_tax_and_bootstrap	taxonomic_affiliation	blast_subject	blast_perc_identity	blast_perc_query_coverage	blast_evalue	blast_aln_length	seed_id	observation_name	observation_sum	ERR7901770	ERR7901771	ERR7901772	ERR7901773	ERR7901774	ERR7901775	ERR7901776	ERR7901777	ERR7901778	ERR7901779
no data	Bacteria;(1.0);Proteobacteria;(1.0);Alphaproteobacteria;(1.0);Rhizobiales;(1.0);Xanthobacteraceae;(1.0);Rhodopseudomonas;(0.59);unknown species;(0.57);	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Tardiphaga;Tardiphaga robiniae	KY302111.1.1345	100.0	100.0	1.50e-130	253	ERR7901770.87	Cluster_30	1008	1005	0	0	2	0	0	0	0	1	0
no data	Bacteria;(1.0);Firmicutes;(1.0);Syntrophomonadia;(1.0);Syntrophomonadales;(1.0);Syntrophomonadaceae;(1.0);Syntrophomonas;(1.0);anaerobic digester metagenome;(0.94);	Bacteria;Firmicutes;Syntrophomonadia;Syntrophomonadales;Syntrophomonadaceae;Syntrophomonas;anaerobic digester metagenome	CZCA01000709.1538.3166	100.0	100.0	1.50e-130	253	ERR7901772.122	Cluster_31	1135	0	1	1134	0	0	0	0	0	0	0
no data	Bacteria;(1.0);Firmicutes;(1.0);Limnochordia;(1.0);MBA03;(1.0);unknown family;(1.0);unknown genus;(1.0);unknown species;(1.0);	Bacteria;Firmicutes;Limnochordia;MBA03;unknown family;unknown genus;unknown species	multi-subject	100.0	100.0	1.50e-130	253	ERR7901772.34	Cluster_32	1444	0	0	1444	0	0	0	0	0	0	0
no data	Bacteria;(1.0);Actinobacteriota;(1.0);Actinobacteria;(1.0);Propionibacteriales;(1.0);Nocardioidaceae;(1.0);Aeromicrobium;(1.0);Aeromicrobium sp.;(0.7);	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.85	Cluster_33	1189	1189	0	0	0	0	0	0	0	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Burkholderiales;(1.0);Comamonadaceae;(1.0);Acidovorax;(0.67);Acidovorax facilis;(0.52);	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Multi-affiliation;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901773.272	Cluster_34	856	0	1	0	184	0	5	2	0	76	588
no data	Bacteria;(1.0);Bacteroidota;(1.0);Rhodothermia;(1.0);Balneolales;(1.0);Balneolaceae;(1.0);Aliifodinibius;(0.89);unknown species;(0.89);	Bacteria;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;Multi-affiliation;Multi-affiliation	multi-subject	99.209	100.0	3.25e-127	253	ERR7901774.195	Cluster_35	747	0	0	0	0	373	367	1	5	1	0
no data	Bacteria;(1.0);Actinobacteriota;(1.0);Actinobacteria;(1.0);Propionibacteriales;(1.0);Nocardioidaceae;(1.0);Nocardioides;(0.62);Nocardioides sp.;(0.23);	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;Nocardioides gilvus	KR534267.1.1461	100.0	100.0	1.50e-130	253	ERR7901777.156	Cluster_36	1087	0	1	0	0	0	0	0	1086	0	0
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halobacteriaceae;(1.0);Halanaeroarchaeum;(1.0);unknown species;(0.78);	Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Halanaeroarchaeum;Multi-affiliation	multi-subject	multi-identity	100.0	1.95e-129	multi-alignment-lg	ERR7901774.22094	Cluster_37	694	0	0	0	0	1	3	57	4	224	405
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Xanthomonadales;(1.0);Xanthomonadaceae;(1.0);Lysobacter;(0.81);Lysobacter soli;(0.47);	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;Lysobacter soli	JX094177.1.1510	99.605	100.0	6.99e-129	253	ERR7901773.211	Cluster_38	788	0	0	0	710	1	0	0	0	44	33
no data	Bacteria;(1.0);Proteobacteria;(0.98);Alphaproteobacteria;(0.98);Rhodospirillales;(0.75);unknown family;(0.75);unknown genus;(0.75);unknown species;(0.34);	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unknown family;unknown genus;unknown species	KX363670.1.1413	100.0	100.0	1.50e-130	253	ERR7901771.24496	Cluster_40	926	0	2	0	0	0	0	0	924	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Enterobacterales;(1.0);Enterobacteriaceae;(1.0);Escherichia-Shigella;(1.0);Escherichia coli;(1.0);	Bacteria;Proteobacteria;Gammaproteobacteria;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901775.49759	Cluster_41	933	0	0	0	0	0	1	0	932	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Burkholderiales;(1.0);Comamonadaceae;(1.0);Schlegelella;(0.99);unknown species;(0.99);	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.15843	Cluster_42	873	47	107	0	0	0	0	0	719	0	0
no data	Bacteria;(1.0);Actinobacteriota;(1.0);Actinobacteria;(1.0);Micrococcales;(1.0);Microbacteriaceae;(1.0);Subtercola;(0.35);Subtercola sp.;(0.35);	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Multi-affiliation;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.54	Cluster_43	947	941	1	0	5	0	0	0	0	0	0
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halomicrobiaceae;(0.82);Halorhabdus;(0.65);Halorhabdus sp.;(0.33);	Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halorhabdus;Halorhabdus sp.	JN196513.1.1379	98.819	100.0	4.23e-126	254	ERR7901774.2282	Cluster_44	728	0	0	0	0	70	187	221	25	111	114
no data	Bacteria;(1.0);Firmicutes;(1.0);Bacilli;(1.0);Lactobacillales;(1.0);Enterococcaceae;(1.0);Enterococcus;(1.0);Enterococcus cecorum;(1.0);	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.2381	Cluster_45	1155	22	106	0	0	0	0	0	614	403	10
no data	Bacteria;(1.0);Bacteroidota;(1.0);Rhodothermia;(1.0);Balneolales;(1.0);Balneolaceae;(1.0);Fodinibius;(0.86);unknown species;(0.86);	Bacteria;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;Multi-affiliation;Multi-affiliation	multi-subject	98.419	100.0	7.04e-124	253	ERR7901774.293	Cluster_46	731	0	0	0	0	376	354	0	1	0	0
no data	Bacteria;(1.0);Firmicutes;(1.0);Clostridia;(1.0);Oscillospirales;(1.0);Ethanoligenenaceae;(1.0);Ethanoligenens;(1.0);unknown species;(0.76);	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ethanoligenenaceae;Ethanoligenens;unknown species	HM309996.1.1336	99.209	100.0	3.25e-127	253	ERR7901770.13862	Cluster_47	774	15	1	0	0	0	0	1	738	19	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Pseudomonadales;(1.0);Halomonadaceae;(1.0);Halomonas;(1.0);Halomonas ventosae;(0.88);	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Halomonas;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901771.5934	Cluster_48	634	0	21	0	1	133	87	0	0	264	128
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halobacteriaceae;(0.99);Halodesulfurarchaeum;(0.77);unknown species;(0.77);	Archaea;Halobacterota;Halobacteria;Halobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation	multi-subject	96.85	100.0	9.22e-118	254	ERR7901773.59277	Cluster_49	1145	0	0	0	1	22	67	509	30	218	298
no data	Bacteria;(1.0);Proteobacteria;(1.0);Alphaproteobacteria;(1.0);Reyranellales;(1.0);Reyranellaceae;(1.0);Reyranella;(1.0);Reyranella sp.;(0.58);	Bacteria;Proteobacteria;Alphaproteobacteria;Reyranellales;Reyranellaceae;Reyranella;unknown species	HQ674814.1.1460	99.209	100.0	3.25e-127	253	ERR7901773.26600	Cluster_50	695	0	0	0	2	0	0	0	693	0	0
no data	Bacteria;(1.0);Firmicutes;(1.0);Bacilli;(1.0);Acholeplasmatales;(1.0);Acholeplasmataceae;(1.0);Acholeplasma;(0.9);unknown species;(0.86);	Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;unknown species	GQ138559.1.1403	96.825	100.0	1.18e-116	252	ERR7901772.69	Cluster_51	713	0	0	713	0	0	0	0	0	0	0
no data	Bacteria;(1.0);Firmicutes;(1.0);Clostridia;(1.0);Peptostreptococcales-Tissierellales;(1.0);Sedimentibacteraceae;(1.0);Sedimentibacter;(1.0);unknown species;(1.0);	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Sedimentibacteraceae;Sedimentibacter;unknown species	multi-subject	100.0	100.0	5.38e-130	252	ERR7901772.86	Cluster_52	1327	0	0	1308	0	0	3	0	0	16	0
no data	Bacteria;(1.0);Bacteroidota;(0.99);Bacteroidia;(0.99);Flavobacteriales;(0.92);Flavobacteriaceae;(0.63);Salegentibacter;(0.11);bacterium YC-LK-LKJ39;(0.05);	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;unknown genus;unknown species	KU961768.1.1493	92.885	100.0	1.57e-100	253	ERR7901771.54287	Cluster_53	628	0	2	0	0	18	26	0	548	0	34
no data	Bacteria;(1.0);Actinobacteriota;(1.0);Actinobacteria;(1.0);Actinomycetales;(1.0);Actinomycetaceae;(1.0);Actinotignum;(1.0);unknown species;(0.97);	Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinotignum;unknown species	HM284487.1.1364	100.0	100.0	1.50e-130	253	ERR7901777.252	Cluster_54	682	0	1	0	0	0	0	0	626	0	55
no data	Bacteria;(1.0);Firmicutes;(1.0);Bacilli;(1.0);Staphylococcales;(1.0);Staphylococcaceae;(1.0);Staphylococcus;(1.0);Staphylococcus aureus;(1.0);	Bacteria;Firmicutes;Bacilli;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.631	Cluster_55	1041	11	30	0	2	10	17	0	662	26	283
no data	Bacteria;(1.0);Firmicutes;(1.0);Bacilli;(1.0);Lactobacillales;(1.0);Carnobacteriaceae;(0.99);Trichococcus;(0.99);unknown species;(0.79);	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Multi-affiliation;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901777.289	Cluster_56	682	0	1	0	0	0	0	0	681	0	0
no data	Bacteria;(1.0);Bacteroidota;(1.0);Bacteroidia;(1.0);Chitinophagales;(1.0);Chitinophagaceae;(1.0);Asinibacterium;(1.0);unknown species;(1.0);	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Asinibacterium;unknown species	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.486	Cluster_57	592	99	8	1	1	0	12	0	0	471	0
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halobacteriaceae;(1.0);unknown genus;(0.77);unknown species;(0.77);	Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;unknown genus;unknown species	HE604592.1.919	100.0	100.0	4.20e-131	254	ERR7901774.373	Cluster_58	579	0	0	0	0	121	186	0	211	38	23
no data	Bacteria;(1.0);Proteobacteria;(1.0);Alphaproteobacteria;(1.0);Rhizobiales;(1.0);Xanthobacteraceae;(1.0);Bradyrhizobium;(1.0);Bradyrhizobium elkanii;(0.83);	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Multi-affiliation;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.12702	Cluster_59	987	2	2	0	10	0	0	269	519	155	30
no data	Bacteria;(1.0);Proteobacteria;(1.0);Alphaproteobacteria;(1.0);Sphingomonadales;(1.0);Sphingomonadaceae;(1.0);Sphingomonas;(0.96);Sphingomonas crusticola;(0.72);	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas crusticola	KT346426.1.1396	100.0	100.0	1.50e-130	253	ERR7901770.308	Cluster_60	681	681	0	0	0	0	0	0	0	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Alphaproteobacteria;(1.0);Rhizobiales;(1.0);Xanthobacteraceae;(1.0);Afipia;(0.94);unknown species;(0.9);	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Afipia;Multi-affiliation	multi-subject	99.605	100.0	6.99e-129	253	ERR7901777.46	Cluster_61	610	43	1	0	0	0	2	0	512	0	52
no data	Bacteria;(1.0);Bacteroidota;(1.0);Bacteroidia;(1.0);Bacteroidales;(1.0);Rikenellaceae;(1.0);Rikenellaceae RC9 gut group;(1.0);unknown species;(1.0);	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group;unknown species	multi-subject	100.0	100.0	1.50e-130	253	ERR7901772.58	Cluster_62	1072	0	0	1045	0	0	0	0	0	27	0
no data	Bacteria;(1.0);Firmicutes;(1.0);Clostridia;(1.0);Oscillospirales;(1.0);Ruminococcaceae;(1.0);Caproiciproducens;(0.91);unknown species;(0.83);	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Caproiciproducens;unknown species	JX575893.1.1337	98.814	100.0	1.51e-125	253	ERR7901777.272	Cluster_63	574	0	0	0	0	0	0	0	574	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Pseudomonadales;(1.0);Moraxellaceae;(1.0);Acinetobacter;(1.0);Acinetobacter sp.;(0.38);	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;unknown species	multi-subject	99.209	100.0	3.25e-127	253	ERR7901777.50	Cluster_64	520	0	1	0	0	0	0	0	519	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Alphaproteobacteria;(1.0);Caulobacterales;(1.0);Caulobacteraceae;(1.0);Brevundimonas;(1.0);Brevundimonas intermedia;(0.85);	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901773.41979	Cluster_65	689	0	0	0	135	0	13	0	489	0	52
